,id,name,description,date_verified,category_icon_path,category_icon_pin_path,category_icon_pin_closed_path,amenities,country,category,location
10,78384,truckstop And Rv parking,"Big parking for trucks near gas station. Also many Rv s. Quiet but for the train.

The dirt lot is very rough, but it was still a good place to spend a night on the road. ",2021-11-23 00:00:00 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'Yes', 'Showers': 'No', 'Water': 'Unknown', 'Toilets': 'Running Water', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'No', 'Pet Friendly': 'Yes'}",United States,Informal Campsite,"{'latitude': 35.18953036320483, 'longitude': -109.434018542154, 'altitude': 1723.6683530667797, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
11,86134,New Mexico Rest Stop (Welcome Center),Welcome Center / Rest Stop as you enter New Mexico coming east from Arizona. Plenty of parking for cars and big rigs. Overnight parking is allowed,2020-10-21 00:00:00 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'No', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'No', 'Water': 'Yes', 'Toilets': 'Running Water', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'No', 'Pet Friendly': 'Yes'}",United States,Informal Campsite,"{'latitude': 35.39816146636501, 'longitude': -109.00413131777496, 'altitude': 1906.318176713585, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
12,130546,Sanders Public Library,Big dirt lot right next to the library and police station. Park in lower sectionof lot. I stayed 3 nights with no issues (the local sheriff did like my 69 VW Bus tho). Decent Wifi from the library. There's two laundromats in town and a small grocery. Some noise from the interstate and trains but overall not too bad.,2021-08-08 00:00:00 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'Yes - Average', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'No', 'Water': 'No', 'Toilets': 'No', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'No', 'Pet Friendly': 'Yes'}",United States,Informal Campsite,"{'latitude': 35.21836, 'longitude': -109.3324, 'altitude': 0.0, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
13,138844,Arizona Welcome Center I-40,"Nice rest area, recently re-opened, super clean!

Restrooms are heated and very clean. Water is hot in the sinks, air is hot coming out of the dryers.

Clean water available outside at fountains and also spigots (2) just to the west of the restrooms (you'll see signs about conserving water).

Lots of covered picnic benches, great scenery around, shops just down the road if you want a bite to eat or souvenirs, ample parking.

There is a train that runs often on the other sidenof the highway and they blow their horn every time because of a railroad crossing, but if you're a sound sleeper, it's no big deal.

Lots of parking, some are more level than others (especially at the very end spots that look to the rock west).

Quite a few vending machines too for snacks and sodas.

Room for pets to roam around as well!",2021-10-17 00:00:00 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'No', 'Water': 'Potable', 'Toilets': 'Running Water', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'No', 'Pet Friendly': 'Yes'}",United States,Informal Campsite,"{'latitude': 35.3514567, 'longitude': -109.0587399, 'altitude': 1888.8455395569426, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
14,150009,Arizona welcome center,"You have to come off 40 to access this rest area, but there are a couple spigots that say ""conserve water."" They are only designed for container filling.
",2021-11-21 00:00:00 UTC,/assets/icons/water-9a80c69888775bbfc56b91b913fa96f406a09ac964a0bdd85f7c0566b7abcd70.png,/assets/icons/water-pin-29c66b884f7b0b777c7c2c747a0b0037ee636413701bf27bd7231633f27864d7.png,/assets/icons/water-pin_closed-f8599309a1bc2b8d668d31ebfd308cc988fc8686ae55f54b8b2648fd14957a9b.png,{'Open': 'Yes'},United States,Water,"{'latitude': 35.35346875, 'longitude': -109.05736161, 'altitude': 1870.23388671875, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
15,152814,Navajo Travel Stop (Shell),"Travel stop with bathrooms, a Subway and two lots for trucks/ RV parking!",2021-06-24 00:00:00 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'Yes', 'Showers': 'Unknown', 'Water': 'Unknown', 'Toilets': 'Running Water', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'No', 'Pet Friendly': 'Yes'}",United States,Informal Campsite,"{'latitude': 35.12905386745476, 'longitude': -109.5401816816158, 'altitude': 1737.53955078125, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
16,161645,Petrified forest National Park,"brand new dump at the Chinde picnic site within Petrified Forest National Park. Free to use, to get there you need to enter the National Park (25 dollar or free with America the Beautiful pass)",2021-11-08 00:00:00 UTC,/assets/icons/sanitation-9f324e6a4196afefaf9b3f8e37695d4169d20a92ae67636754c50a9aec33cde1.png,/assets/icons/sanitation-pin-0bf64d8cb515d472c55b0d798bebc6350a2a9b965085e074de43ef38a9c203ca.png,/assets/icons/sanitation-pin_closed-15407288c1497875f55db915850a294f5682c8e1622e3347691d28c138daa7f6.png,{'Open': 'Yes'},United States,Sanitation Dump Station,"{'latitude': 35.08573893, 'longitude': -109.79567335, 'altitude': 1741.00537109375, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
17,18483,Bowl Canyon Lake,"We have been traveling around the Four Corners area for 20 years and didn't know this place existed.  A very nice, quiet campground on a lake.  The sign said $15/night, but the booth was not manned so there was noone to pay.  7800 ft elevation means it is cool in the summer.  Two entrances, the north for a picnic area and south for camping.  No services.  
Unfortunately, some local hoodlums arrived at 1am and howled at the moon all night.  They made us very uncomfortable so we left at dawn.
",2016-06-28 00:00:00 UTC,/assets/icons/camping-ba93161fdbc528d499c6dd5debc56e188b989079b6c6a742b6a0ff9b94ec09f6.png,/assets/icons/camping-pin-fbff58852a525ae180b78f8f954e38eb0035d326550b8887e7e47dd6133aa493.png,/assets/icons/camping-pin_closed-c72f8255262c0ab2532692f447733aae42c2477ee666c1064bec57cbb3e42254.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'No', 'Water': 'No', 'Toilets': 'Pit Toilets', 'Big Rig Friendly': 'No', 'Tent Friendly': 'Yes', 'Pet Friendly': 'Yes', 'Sanitation Dump Station': 'Unknown'}",United States,Established Campground,"{'latitude': 35.97780136, 'longitude': -108.92909538, 'altitude': 2282.0, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
18,27353,El Morro National Monument Campground,"El Morro National Monument operates a nine-site campground year-round. Each site has a graveled tent pad, picnic table and ground grill for fires. During the warmer months, water is available in spigots.  You are not allowed to fill up your RV at this site.  Once the overnight low's begin to reach freezing temperatures, water is turned off for the season. There are no hookups for RVs. The length limit on all motor homes is 27 feet overall. One site, #5, is handicapped accessible.

Sites are available by self-registration on a first-come, first-served basis (reservations not accepted). The campground occasionally fills-up on weekends from May through September. El Morro National Monument no longer collects camping fees. Campsites are fee free. The site is regularly patrolled by NPS Police.   The closest town is Grant NM.  

Fires are permitted in provided grills only. Please comply with any seasonal fire restrictions. Collection of firewood within the monument is prohibited, so bring firewood with you if you intend to have a campfire.",2021-05-14 13:58:36 UTC,/assets/icons/camping-ba93161fdbc528d499c6dd5debc56e188b989079b6c6a742b6a0ff9b94ec09f6.png,/assets/icons/camping-pin-fbff58852a525ae180b78f8f954e38eb0035d326550b8887e7e47dd6133aa493.png,/assets/icons/camping-pin_closed-c72f8255262c0ab2532692f447733aae42c2477ee666c1064bec57cbb3e42254.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'No', 'Water': 'Potable', 'Toilets': 'Pit Toilets', 'Big Rig Friendly': 'No', 'Tent Friendly': 'Yes', 'Pet Friendly': 'Yes', 'Sanitation Dump Station': 'Unknown'}",United States,Established Campground,"{'latitude': 35.03718181, 'longitude': -108.33628504, 'altitude': 2170.0, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
19,39638,Ojo Redundo Campground,"Nice primitive campground in the middle of the forest. To go there we took a dirt road but if there is no rain or mud, a high clearance is enough. Nevertheless the dirt road is not really Big rig friendly even if the campground offers 1 or 2 big sites. Maps'me says to take another road and arrive from the north. This road is in much better shape and no need of high clearance. (We took this road to leave the campground) Big rigs can pass.
No services just a pit toilet, tables and  possibility to make a good fire as the evening can be cold at 2.700 meters !! Really Nice place !",2017-07-24 00:00:00 UTC,/assets/icons/camping-ba93161fdbc528d499c6dd5debc56e188b989079b6c6a742b6a0ff9b94ec09f6.png,/assets/icons/camping-pin-fbff58852a525ae180b78f8f954e38eb0035d326550b8887e7e47dd6133aa493.png,/assets/icons/camping-pin_closed-c72f8255262c0ab2532692f447733aae42c2477ee666c1064bec57cbb3e42254.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'No', 'Water': 'No', 'Toilets': 'Pit Toilets', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'Yes', 'Pet Friendly': 'Unknown', 'Sanitation Dump Station': 'Unknown'}",United States,Established Campground,"{'latitude': 35.1593596, 'longitude': -108.1073181, 'altitude': 2643.6902627243494, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
20,44097,Bluewater State Park,"$8 dry camping, $14 with electricity. Hot showers. Lakefront sites, and Canyonside sites. Good hiking opportunities.
",2021-11-20 00:00:00 UTC,/assets/icons/camping-ba93161fdbc528d499c6dd5debc56e188b989079b6c6a742b6a0ff9b94ec09f6.png,/assets/icons/camping-pin-fbff58852a525ae180b78f8f954e38eb0035d326550b8887e7e47dd6133aa493.png,/assets/icons/camping-pin_closed-c72f8255262c0ab2532692f447733aae42c2477ee666c1064bec57cbb3e42254.png,"{'Open': 'Yes', 'Electricity': 'Yes - At Sites', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'Hot', 'Water': 'Potable', 'Toilets': 'Running Water', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'Yes', 'Pet Friendly': 'Yes', 'Sanitation Dump Station': 'Yes'}",United States,Established Campground,"{'latitude': 35.3020574, 'longitude': -108.1071496, 'altitude': 2237.0, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
21,48145,TA truck stop,"!!CLOSED/INCORRECT COORDINATES!!near railroad tracks just off the interstate. restaurant, bathrooms close by. Great stop for passing through.",2020-07-09 00:00:00 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'No', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'No', 'Water': 'No', 'Toilets': 'No', 'Big Rig Friendly': 'No', 'Tent Friendly': 'No', 'Pet Friendly': 'No'}",United States,Informal Campsite,"{'latitude': 35.53430727, 'longitude': -108.68641268, 'altitude': -1.0, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
22,53732,Red Rock park campground ,"A very nice campground !
Near the city in the park
Have power ,water ,shower...
Only 22 dollar or $10 without electricity
Dump point on site",2021-06-09 22:22:44 UTC,/assets/icons/camping-ba93161fdbc528d499c6dd5debc56e188b989079b6c6a742b6a0ff9b94ec09f6.png,/assets/icons/camping-pin-fbff58852a525ae180b78f8f954e38eb0035d326550b8887e7e47dd6133aa493.png,/assets/icons/camping-pin_closed-c72f8255262c0ab2532692f447733aae42c2477ee666c1064bec57cbb3e42254.png,"{'Open': 'Yes', 'Electricity': 'Yes - At Sites', 'Wifi': 'Yes - Fast', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'Warm', 'Water': 'Potable', 'Toilets': 'Running Water', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'Yes', 'Pet Friendly': 'Yes', 'Sanitation Dump Station': 'Yes'}",United States,Established Campground,"{'latitude': 35.54061021659108, 'longitude': -108.60953469770831, 'altitude': 2027.1661326459537, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
23,57168,Fire Rock Navaho Casino,"Overnight parking okay in west end of lot. Trains, trucks, and traffic present but slept just fine.",2020-10-20 00:00:00 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'No', 'Electricity': 'No', 'Wifi': 'Yes - Slow', 'Kitchen': 'No', 'Restaurant': 'Yes', 'Showers': 'No', 'Water': 'No', 'Toilets': 'Running Water', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'No', 'Pet Friendly': 'Yes'}",United States,Informal Campsite,"{'latitude': 35.53249431311668, 'longitude': -108.63097577365919, 'altitude': 2020.921732775004, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
24,66560,RG truck services,"Been there to change oil and filter on my RV.
They do it in 30minutes for a good price.
They were very friendly and can repair everything on your RV too.",2019-02-07 00:00:00 UTC,/assets/icons/mechanic-d96e8a163cb3a084afad6ea0c1ba0498e48413ce5612226c920e978b240eaac6.png,/assets/icons/mechanic-pin-e5259970e4a686d23db8381ee84be008a62cef85347d3a8db572ac902dcb4488.png,/assets/icons/mechanic-pin_closed-854143d043c3ed258334aadb0b2da276a095393a4f5db1b8bbcac0cd411531ce.png,"{'Open': 'Yes', 'Repairs Vehicles': 'Unknown', 'Repairs Motorcycles': 'Unknown', 'Repairs Bicycles': 'Unknown', 'Sells Parts': 'Unknown'}",United States,Mechanic and Parts,"{'latitude': 35.52368, 'longitude': -108.69933, 'altitude': 1997.8, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
25,67321,Walmart Gallup New Mexico ,"RV’s and semi trucks share outer perimeter of Walmart parking lot, security cameras and guards patrol, plus Walmart Super store allows one night stays, address is 
1640 W. Maloney Avenue Gallup New Mexico Zip code 87301",2021-10-05 00:00:00 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'Unknown', 'Kitchen': 'No', 'Restaurant': 'Yes', 'Showers': 'No', 'Water': 'Potable', 'Toilets': 'Running Water', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'No', 'Pet Friendly': 'No'}",United States,Informal Campsite,"{'latitude': 35.52667278799743, 'longitude': -108.7701635622501, 'altitude': 1995.536376953125, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
26,85468,Cracker Barrell,"3 small spaces in back of restaurant, not level but we moved to a car spot that was. People with large vehicles and tows that are staying at nearby motel also were using lot. Fairly quiet, good for overnight

",2021-08-23 06:55:17 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'Yes', 'Showers': 'No', 'Water': 'No', 'Toilets': 'No', 'Big Rig Friendly': 'No', 'Tent Friendly': 'No', 'Pet Friendly': 'Yes'}",United States,Informal Campsite,"{'latitude': 35.52903191655458, 'longitude': -108.76399431387779, 'altitude': 1985.702968597412, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
27,86636,Speedway Gas Station,"Free RV dump station, listed on map as Giant gas station, actually a Speedway gas station. No water available (even though it says so), but it is a free dump! Next door to Blake’s Lottaburger. ",2021-01-12 00:00:00 UTC,/assets/icons/sanitation-9f324e6a4196afefaf9b3f8e37695d4169d20a92ae67636754c50a9aec33cde1.png,/assets/icons/sanitation-pin-0bf64d8cb515d472c55b0d798bebc6350a2a9b965085e074de43ef38a9c203ca.png,/assets/icons/sanitation-pin_closed-15407288c1497875f55db915850a294f5682c8e1622e3347691d28c138daa7f6.png,{'Open': 'No'},United States,Sanitation Dump Station,"{'latitude': 35.52891163624407, 'longitude': -108.69816133762588, 'altitude': 2002.366054534912, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
